OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-2292,2021-024AY,2025-07-21T05:43:31.342080,15.06408097,.0001151,53.0561,290.6426,106.1883,253.9233,0,U,48023,999,23921,-.13946E-3,-.2358E-4,0
STARLINK-2299,2021-024BE,2025-07-21T09:58:17.741568,15.06403106,.0001555,53.0562,289.8508,109.5182,250.5975,0,U,48029,999,23924,.15867E-4,-.45E-6,0
STARLINK-2404,2021-027B,2025-07-21T04:46:29.581536,15.06412416,.0001371,53.0536,121.0210,92.2011,267.9135,0,U,48093,999,23726,.22973E-3,.3143E-4,0
STARLINK-2412,2021-027C,2025-07-20T22:49:31.142496,15.06397007,.0001383,53.0543,131.9352,92.2689,267.8459,0,U,48094,999,23749,.92765E-5,-.143E-5,0
STARLINK-2414,2021-027D,2025-07-21T02:11:12.078528,15.06405756,.0001488,53.0552,131.3045,91.8140,268.3019,0,U,48095,999,23711,.10969E-3,.1353E-4,0
STARLINK-2417,2021-027E,2025-07-21T01:34:03.917568,15.06395591,.0001421,53.0552,131.4194,90.8037,269.3115,0,U,48096,999,23710,-.36323E-5,-.336E-5,0
STARLINK-2418,2021-027F,2025-07-21T10:38:06.245376,15.06393959,.0001339,53.0546,109.7231,83.8497,276.2644,0,U,48097,999,23744,.75667E-4,.846E-5,0
STARLINK-2421,2021-027G,2025-07-20T22:56:09.527712,15.06401282,.0001542,53.0555,121.9139,93.2876,266.8289,0,U,48098,999,23762,.73949E-4,.82E-5,0
STARLINK-2428,2021-027H,2025-07-21T01:49:58.503648,15.06405987,.000146,53.0545,131.3703,89.6453,270.4703,0,U,48099,999,23710,.99189E-4,.1196E-4,0
STARLINK-2430,2021-027J,2025-07-20T21:43:09.521184,15.06407341,.0001412,53.0551,112.1393,93.1406,266.9744,0,U,48100,999,23776,.35595E-4,.249E-5,0
STARLINK-2436,2021-027K,2025-07-21T04:09:22.232736,15.06393083,.000134,53.0546,121.1400,92.5802,267.5341,0,U,48101,999,23726,.14717E-4,-.62E-6,0
STARLINK-2437,2021-027L,2025-07-21T14:00:01.000224,15.37424393,.0001108,53.0525,107.2881,111.1005,40.2232,0,U,48102,999,23748,.49855E-1,.2058342E-1,0
STARLINK-2439,2021-027N,2025-07-21T03:35:29.126688,15.06401118,.0001503,53.0549,116.0462,89.6170,270.4991,0,U,48104,999,23733,.89581E-4,.1053E-4,0
STARLINK-2440,2021-027P,2025-07-20T22:11:02.117184,15.06397176,.0001554,53.0573,62.0569,93.2182,266.8985,0,U,48105,999,23846,.9759E-4,.1172E-4,0
STARLINK-2442,2021-027Q,2025-07-21T10:32:47.735232,15.06404214,.0001694,53.0558,109.7525,89.4301,270.6882,0,U,48106,999,23744,.58771E-4,.594E-5,0
STARLINK-2443,2021-027R,2025-07-21T02:56:19.455360,15.06406149,.0001349,53.0557,111.1649,100.4025,259.7116,0,U,48107,999,23739,.12119E-4,-.101E-5,0
STARLINK-2448,2021-027V,2025-07-21T01:51:18.465120,15.06402496,.000147,53.0548,121.3374,97.8587,262.2569,0,U,48111,999,23725,.22773E-4,.58E-6,0
STARLINK-2449,2021-027W,2025-07-21T03:16:57.246816,15.06387334,.0001653,53.0558,136.2677,85.8754,274.2424,0,U,48112,999,23704,-.28951E-4,-.713E-5,0
STARLINK-2450,2021-027X,2025-07-21T04:55:45.166368,15.06410541,.0001445,53.0545,130.7956,87.5513,272.5641,0,U,48113,999,23712,.25699E-3,.3549E-4,0
STARLINK-2452,2021-027Z,2025-07-21T01:30:04.262112,15.06414944,.0001306,53.0554,121.4419,99.3941,260.7196,0,U,48115,999,23724,.25802E-4,.103E-5,0
STARLINK-2454,2021-027AA,2025-07-21T01:39:22.544352,15.06406572,.0001391,53.0551,131.4029,91.3766,268.7382,0,U,48116,999,23710,.13757E-3,.1769E-4,0
STARLINK-2455,2021-027AB,2025-07-21T04:09:16.189920,15.06401753,.0001517,53.0541,110.9249,102.4260,257.6899,0,U,48117,999,23740,.27973E-3,.3888E-4,0
STARLINK-2459,2021-027AD,2025-07-21T01:08:48.084864,15.06406449,.000121,53.0547,111.4902,92.3137,267.7990,0,U,48119,999,23738,.12538E-4,-.95E-6,0
STARLINK-2460,2021-027AE,2025-07-21T04:29:13.102080,15.06404683,.0001416,53.0545,130.8758,89.5569,270.5582,0,U,48120,999,23712,.31598E-4,.189E-5,0
STARLINK-2462,2021-027AF,2025-07-21T02:12:32.418432,15.06403343,.0001436,53.0553,121.3041,95.7552,264.3601,0,U,48121,999,23725,.70472E-4,.768E-5,0
STARLINK-2464,2021-027AH,2025-07-20T21:37:51.463776,15.06405817,.0001532,53.0550,112.1539,96.8269,263.2895,0,U,48123,999,23776,.94588E-4,.1128E-4,0
STARLINK-2465,2021-027AJ,2025-07-21T02:23:10.008960,15.06399176,.0001528,53.0557,121.2711,97.7720,262.3443,0,U,48124,999,23725,-.81723E-5,-.403E-5,0
STARLINK-2466,2021-027AK,2025-07-21T04:18:38.097504,15.06403376,.0001308,53.0550,131.1499,92.3021,267.8118,0,U,48125,999,23712,-.16261E-4,-.524E-5,0
STARLINK-2467,2021-027AL,2025-07-21T03:12:14.579712,15.06408383,.0001606,53.0560,111.1197,85.4533,274.6639,0,U,48126,999,23739,.12226E-3,.154E-4,0
STARLINK-2468,2021-027AM,2025-07-21T04:34:31.316736,15.06404649,.0001651,53.0560,130.8626,96.4508,263.6669,0,U,48127,999,23712,.10321E-3,.1256E-4,0
STARLINK-2469,2021-027AN,2025-07-21T07:17:45.030624,15.06401862,.000133,53.0548,60.4342,87.0321,273.0820,0,U,48128,999,23812,.10512E-3,.1285E-4,0
STARLINK-2471,2021-027AP,2025-07-21T04:23:54.397536,15.06404997,.0001469,53.0549,130.8910,88.3585,271.7572,0,U,48129,999,23712,.1676E-4,-.32E-6,0
STARLINK-2472,2021-027AQ,2025-07-21T02:13:17.796576,15.06407066,.0001342,53.0549,136.8469,91.9247,268.1896,0,U,48130,999,23703,.12884E-3,.1638E-4,0
STARLINK-2473,2021-027AR,2025-07-21T03:01:37.573248,15.06435217,.0001196,53.0555,111.1497,90.9064,269.2062,0,U,48131,999,23739,-.42492E-3,-.6611E-4,0
STARLINK-2474,2021-027AS,2025-07-21T02:32:26.637504,15.06400011,.0001194,53.0543,131.2404,101.3986,258.7137,0,U,48132,999,23711,-.44404E-4,-.943E-5,0
STARLINK-2475,2021-027AT,2025-07-21T02:27:08.047008,15.06396736,.0001298,53.0540,131.2580,95.4180,264.6957,0,U,48133,999,23711,.26413E-5,-.242E-5,0
STARLINK-2476,2021-027AU,2025-07-21T02:05:54.527424,15.06396700,.0001406,53.0544,131.3225,90.7294,269.3856,0,U,48134,999,23711,.22606E-4,.55E-6,0
STARLINK-2478,2021-027AV,2025-07-21T02:07:55.168608,15.06402481,.000147,53.0552,136.4803,75.3067,284.8085,0,U,48135,999,23703,.53221E-4,.511E-5,0
STARLINK-2479,2021-027AW,2025-07-21T02:16:38.615232,15.06374126,.0001371,53.0553,131.7882,88.0262,272.0884,0,U,48136,999,23710,-.16467E-3,-.2732E-4,0
STARLINK-2480,2021-027AX,2025-07-21T03:17:33.883008,15.06388551,.0001308,53.0550,111.0708,88.8496,271.2642,0,U,48137,999,23739,.82702E-4,.95E-5,0
STARLINK-2481,2021-027AY,2025-07-21T02:21:49.331232,15.06404813,.000142,53.0548,131.2714,91.1795,268.9357,0,U,48138,999,23711,.37702E-4,.28E-5,0
STARLINK-2482,2021-027AZ,2025-07-20T22:57:28.759104,15.06404145,.0001546,53.0551,111.9113,89.9010,270.2156,0,U,48139,999,23777,.10973E-3,.1353E-4,0
STARLINK-2483,2021-027BA,2025-07-21T12:11:05.169408,15.06396094,.0001397,53.0544,129.9874,83.6602,276.4546,0,U,48140,999,23716,.18985E-4,.1E-7,0
STARLINK-2485,2021-027BC,2025-07-21T00:27:42.984864,15.06400352,.0001342,53.0559,111.6312,94.6749,265.4393,0,U,48142,999,23738,.48001E-4,.434E-5,0
STARLINK-2486,2021-027BD,2025-07-21T08:12:49.960224,15.06390004,.0001349,53.0552,65.2801,90.7571,269.3573,0,U,48143,999,23805,.60938E-4,.626E-5,0
STARLINK-2487,2021-027BE,2025-07-20T23:02:46.830336,15.06407261,.0001475,53.0553,111.8971,82.1324,277.9833,0,U,48144,999,23737,.14757E-3,.1918E-4,0
STARLINK-2488,2021-027BF,2025-07-20T21:32:33.195552,15.06405231,.0001572,53.0558,112.1754,90.2256,269.8913,0,U,48145,999,23776,.14482E-3,.1876E-4,0
STARLINK-2491,2021-027BJ,2025-07-21T04:39:49.612608,15.06404393,.0001496,53.0557,130.8451,91.8587,268.2574,0,U,48148,999,23712,.89776E-5,-.148E-5,0
STARLINK-2492,2021-027BK,2025-07-21T03:22:52.518432,15.06397838,.0001434,53.0556,111.0827,93.2817,266.8336,0,U,48149,999,23739,-.16158E-4,-.522E-5,0
STARLINK-2493,2021-027BL,2025-07-21T00:17:05.650080,15.06401786,.0001407,53.0547,111.6623,95.5622,264.5528,0,U,48150,999,23738,.56562E-4,.561E-5,0
STARLINK-2503,2021-027BM,2025-07-21T00:22:24.182688,15.06408218,.000132,53.0545,111.6424,93.9018,266.2122,0,U,48151,999,23738,-.29566E-4,-.722E-5,0
STARLINK-2567,2021-036A,2025-07-20T17:23:45.448512,15.06396179,.0001233,53.0549,7.9489,92.3513,267.7617,0,U,48276,999,23384,-.13984E-4,-.49E-5,0
STARLINK-2569,2021-036B,2025-07-20T12:39:06.982560,15.06401908,.0001301,53.0574,333.8381,98.6710,261.4426,0,U,48277,999,23488,.41159E-4,.332E-5,0
STARLINK-2543,2021-036C,2025-07-21T10:14:54.362976,15.06391151,.0001591,53.0565,344.8815,91.2660,268.8511,0,U,48278,999,23480,-.41666E-4,-.902E-5,0
STARLINK-2565,2021-036E,2025-07-20T21:10:39.479232,15.06403016,.0001349,53.0549,57.2409,88.7178,271.3966,0,U,48280,999,23374,.11533E-3,.1437E-4,0
STARLINK-2558,2021-036G,2025-07-21T06:00:46.270656,15.06428370,.0001322,53.0522,40.5849,98.6597,261.4541,0,U,48282,999,23401,-.46742E-3,-.7242E-4,0
STARLINK-2516,2021-036H,2025-07-20T20:22:13.674432,15.06403166,.0001468,53.0546,42.3913,92.0975,268.0182,0,U,48283,999,23337,.60356E-4,.618E-5,0
STARLINK-2564,2021-036J,2025-07-21T05:50:09.698784,15.06392754,.0001622,53.0563,40.6218,90.5777,269.5398,0,U,48284,999,23400,-.40123E-5,-.341E-5,0
