NORAD_CAT_ID,DECAY_EPOCH,TLE_DOWNLOAD_URL
45980,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45980/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
47181,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47181/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
47439,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47439/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
47439,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47439/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
47846,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47846/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
47900,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47900/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
49764,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/49764/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
51484,2024-07-30 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/51484/EPOCH/>2024-05-31/EPOCH/<2024-07-30/orderby/EPOCH%20desc/format/csv
45101,2024-07-29 23:29:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45101/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
45101,2024-07-29 23:29:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45101/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
45101,2024-07-29 23:13:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45101/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
45101,2024-07-29 21:34:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45101/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
13479,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/13479/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
13479,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/13479/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
14756,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/14756/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
14819,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/14819/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
32433,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/32433/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
32433,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/32433/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
32433,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/32433/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
34643,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/34643/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
41171,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/41171/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
43426,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/43426/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
43426,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/43426/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
45559,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/45559/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
47369,2024-07-29 00:00:00,https://www.space-track.org/basicspacedata/query/class/tle/NORAD_CAT_ID/47369/EPOCH/>2024-05-30/EPOCH/<2024-07-29/orderby/EPOCH%20desc/format/csv
